hhid,cellphone,wealth,size,education_years,education_other,bank_acct,mattress,sacco,merry,mean_sent_nm,number_sent_nm,totsent_nm,number_sent_m,totsent_m,sendd,number_sent,totsent,mean_recd_nm,totrecd_nm,number_recd_nm,totrecd_m,number_recd_m,recdd,mean_recd,totrecd,number_recd,netremit,mpesa_user,round,weight,mean_sentdist_nm,mean_sentdist_m,mean_sentdist,mean_recddist_nm,mean_recddist_m,mean_recddist,frac_recd,period,agents1,agents2,agents5,agents10,agents20,agents_d,totexp,ltotexp,totexppc,ltotexppc,wkexppc,lwkexppc,totexppc_nomed,ltotexppc_nomed,lwealth,rural,province,district,location,village,totrecd_c,totsent_c,totrecd2,networksize,mean_recd2,occ_farmer,occ_public,occ_prof,occ_help,occ_ue,occ_bus,occ_sales,occ_ind,occ_other,lagents_d,agents1s,agents2s,agents5s,agents10s,agents20s,neg,sick,ag,pos,user_neg,user_sick,agents1s_neg,agents1s_sick,agents2s_neg,agents2s_sick,agents5s_neg,agents5s_sick,agents10s_neg,agents10s_sick,agents20s_neg,agents20s_sick,lagents_d_neg,lagents_d_sick,distance,panel,mpesa_status,lowattrit,wealthtile,d1,d2,d3,d4,d5,false,lmean_recddist,ldistance,urban,mweight
1650018,0,4800,8,0,0,"no","yes","no","no",,,,,,0,0,0,660,660,1,,0,1,660,660,1,660,"no",2,4.07243,,,,300,,300,1,2,0,6,6,6,6,1.582134,23672,10.07205,2959,7.992607,1664,7.41698,2959,7.992607,8.476371,0,"rift valley",701,1,2,.027881,0,25.69047,1,25.69047,0,0,0,0,0,0,0,0,1,7.366529,0,2.44949,2.44949,2.44949,2.44949,1,0,1,0,0,0,0,0,2.44949,0,2.44949,0,2.44949,0,2.44949,0,7.366529,0,216.06337,1,"Non M-PESA",1,1,.125,.5,.125,.125,0,,5.703783,5.375572,1,3.615036
1650083,0,1400,8,0,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,4.07243,,,,,,,,2,0,0,6,6,6,2.089485,55792,10.92939,6974,8.849944,4589,8.431417,6779,8.821585,7.244227,0,"rift valley",701,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.644673,0,0,2.44949,2.44949,2.44949,1,1,1,0,0,0,0,0,0,0,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,7.644673,7.644673,,1,"Non M-PESA",1,1,.5,.25,0,.125,.125,1,,,1,3.676423
1650039,0,4500,4,4,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,4.07243,,,,,,,0,2,0,6,6,6,6,1.804343,106940,11.58002,26735,10.19373,20540,9.930129,25535,10.14781,8.411833,0,"rift valley",701,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.497952,0,2.44949,2.44949,2.44949,2.44949,1,0,0,0,0,0,0,0,2.44949,0,2.44949,0,2.44949,0,2.44949,0,7.497952,0,,1,"Non M-PESA",1,1,0,.5,.25,.25,0,1,,,1,4.160861
1650107,1,8000,4,2,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,4.07243,,,,,,,0,2,0,6,6,6,6,1.762077,27256,10.21303,6814,8.826735,2899,7.972121,4564,8.425955,8.987197,0,"rift valley",701,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.474248,0,2.44949,2.44949,2.44949,2.44949,1,1,0,0,0,0,0,0,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,7.474248,7.474248,,1,"Non M-PESA",1,1,.5,0,.25,.25,0,,,,1,3.930045
1650029,1,35000,2,4,0,"no","no","no","yes",,,,,,0,0,0,,,0,5000,1,1,5000,5000,1,5000,"yes",2,4.07243,,,,,758,758,1,2,0,6,6,6,6,1.774577,48272,10.78461,24136,10.09146,13572,9.515764,22336,10.01396,10.4631,0,"rift valley",701,1,2,.1035797,0,70.71068,1,70.71068,0,0,0,0,0,0,0,0,1,7.481318,0,2.44949,2.44949,2.44949,2.44949,1,1,0,0,1,1,0,0,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,2.44949,7.481318,7.481318,295.27914,1,"Join",1,3,0,0,.5,.5,0,1,6.630683,5.687921,1,4.040194
1650050,1,26000,7,0,0,"no","yes","no","no",,,,,,0,0,0,4000,4000,1,,0,1,4000,4000,1,4000,"no",2,4.07243,,,,200,,200,1,2,0,6,6,6,6,1.763074,78920,11.27619,11274.29,9.33028,2971.428,7.996798,10931.43,9.299397,10.16585,0,"rift valley",701,1,2,.0506842,0,63.24555,1,63.24555,0,0,0,0,0,0,0,1,0,7.474814,0,2.44949,2.44949,2.44949,2.44949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.90628,1,"Non M-PESA",1,1,.1428571,.4285715,.1428571,.1428571,.1428571,,5.298317,5.374845,1,3.634787
1650072,0,1200,6,0,0,"no","no","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",3,4.07243,,,,,,,,2,0,8,10,10,11,1.84551,15480,9.647305,2580,7.855545,1430,7.265429,2080,7.640123,7.090077,0,"rift valley",701,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.520511,0,2.828427,3.162278,3.162278,3.316625,1,1,0,0,0,0,0,0,2.828427,2.828427,3.162278,3.162278,3.162278,3.162278,3.316625,3.316625,7.520511,7.520511,,1,"Non M-PESA",1,1,.1666667,.3333333,0,.1666667,.1666667,,,,1,3.860055
1650061,1,49550,3,8,0,"no","yes","yes","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,4.07243,,,,,,,0,2,0,6,6,6,6,1.627099,185796,12.1324,61932,11.03379,20332,9.919951,61932,11.03379,10.81074,0,"rift valley",701,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.394554,0,2.44949,2.44949,2.44949,2.44949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Leave",1,3,.6666667,0,0,.3333333,0,,,,1,4.005267
794141,1,146500,7,18,0,"yes","no","yes","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"yes",3,2.714953,,,,,,,0,2,0,0,4,4,21,4.350816,350080,12.76592,50011.43,10.82001,22582.86,10.02495,46582.86,10.74899,11.89478,1,"rift valley",701,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.378119,0,0,2,2,4.582576,1,1,0,0,1,1,0,0,0,0,2,2,2,2,4.582576,4.582576,8.378119,8.378119,,1,"Join",1,4,.4285715,.2857143,.1428571,.1428571,0,1,,,0,2.671984
794084,0,22100,2,0,0,"no","no","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",3,2.714953,,,,,,,,2,0,0,4,4,21,3.943413,50152,10.82281,25076,10.12967,21866,9.992688,25076,10.12967,10.00333,1,"rift valley",701,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.279801,0,0,2,2,4.582576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Non M-PESA",1,3,0,0,0,0,0,1,,,0,2.76633
794056,1,54000,7,0,1,"yes","yes","no","yes",,0,,5,8000,1,5,8000,2500,7500,3,,0,1,2500,7500,3,-500,"yes",2,2.714953,,380,380,240,,240,.2222222,2,0,0,2,2,17,3.714003,271488,12.51167,38784,10.56576,23355.43,10.05858,37926.86,10.54342,10.89674,1,"rift valley",701,3,3,.0276255,.0294672,86.60254,2,50,0,0,0,0,1,0,0,0,0,8.219866,0,0,1.414214,1.414214,4.123106,1,0,0,0,1,0,0,0,0,0,1.414214,0,1.414214,0,4.123106,0,8.219866,0,240.53999,1,"M-PESA",1,5,.2857143,.1428571,0,.2857143,.1428571,1,5.480639,5.482886,0,2.619072
794127,1,73350,9,7,0,"no","yes","no","no",,,,,,0,0,0,1000,1000,1,,0,1,1000,1000,1,1000,"yes",2,2.714953,,,,280,,280,.25,2,0,0,2,2,17,4.14092,290352,12.57885,32261.33,10.38163,14710.22,9.596298,31594.67,10.36074,11.203,1,"rift valley",701,3,3,.0034441,0,31.62278,1,31.62278,1,0,0,0,0,0,0,0,0,8.328673,0,0,1.414214,1.414214,4.123106,1,1,0,0,1,1,0,0,0,0,1.414214,1.414214,1.414214,1.414214,4.123106,4.123106,8.328673,8.328673,240.85097,1,"Join",1,5,.3333333,.1111111,.2222222,.1111111,.1111111,1,5.634789,5.484179,0,2.637275
794013,1,23600,5,0,0,"no","no","no","yes",,,,,,0,0,0,1000,1000,1,,0,1,1000,1000,1,1000,"no",3,2.714953,,,,,,,1,2,0,0,4,4,21,3.176103,64340,11.07194,12868,9.462499,9464,9.155251,12868,9.462499,10.069,1,"rift valley",701,3,3,.0155424,0,31.62278,1,31.62278,0,0,0,0,0,1,0,0,0,8.063411,0,0,2,2,4.582576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.529527,1,"Non M-PESA",1,1,.2,.4,0,.2,0,1,,4.197646,0,2.727485
794086,1,93800,7,8,0,"no","yes","no","yes",,0,,1,800,1,1,800,,,0,2000,1,1,2000,2000,1,1200,"yes",2,2.714953,,60,60,,45,45,.5,2,0,0,2,2,17,4.017977,203656,12.22419,29093.71,10.27828,23459.43,10.06303,29093.71,10.27828,11.44892,1,"rift valley",701,3,3,.0098205,.0039282,44.72136,1,44.72136,0,0,0,0,1,0,0,0,0,8.298533,0,0,1.414214,1.414214,4.123106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.777952,1,"Join",1,4,0,.4285715,.1428571,.1428571,.1428571,1,3.806663,4.155407,0,2.674133
794070,1,88000,10,12,0,"yes","no","yes","yes",,0,,2,2000,1,2,2000,,,,,,0,0,0,0,-2000,"yes",2,2.714953,,8,8,,,,0,2,0,0,2,2,17,4.14092,286174,12.56435,28617.4,10.26177,18834.4,9.84344,28617.4,10.26177,11.38509,1,"rift valley",701,3,3,0,.0069888,0,0,0,0,0,1,0,0,0,0,0,0,8.328673,0,0,1.414214,1.414214,4.123106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Join",1,5,.2,.6,0,0,.1,1,,,0,2.601189
794112,0,16750,1,0,0,"no","no","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,2.714953,,,,,,,,2,0,0,2,2,17,3.41676,48148,10.78203,48148,10.78203,39988,10.59633,47428,10.76697,9.726153,1,"rift valley",701,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.136448,0,0,1.414214,1.414214,4.123106,1,1,0,0,0,0,0,0,0,0,1.414214,1.414214,1.414214,1.414214,4.123106,4.123106,8.136448,8.136448,,1,"Non M-PESA",1,2,0,0,0,0,0,1,,,0,2.702883
794041,1,98500,8,4,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"yes",3,2.714953,,,,,,,,2,0,0,4,4,21,3.319625,93344,11.44405,11668,9.364605,9958,9.206132,11668,9.364605,11.49781,1,"rift valley",701,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.107607,0,0,2,2,4.582576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Join",1,4,.125,.125,.25,.25,.125,1,,,0,2.596353
806069,0,20500,3,4,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,0,1,1,11,23,1.129998,90440,11.41244,30146.67,10.31383,26000,10.16585,30146.67,10.31383,9.92818,1,"rift valley",702,306,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.029971,0,1,1,3.316625,4.795832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Non M-PESA",1,3,0,0,0,.6666667,.3333333,1,,,0,1.38006
806028,1,66200,5,0,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,0,1,1,11,23,1.139376,227204,12.3336,45440.8,10.72417,31168.8,10.34717,45248.8,10.71993,11.10044,1,"rift valley",702,306,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.038236,0,1,1,3.316625,4.795832,1,1,0,0,0,0,0,0,1,1,1,1,3.316625,3.316625,4.795832,4.795832,7.038236,7.038236,,1,"Non M-PESA",1,3,.4,.2,.2,0,0,1,,,0,1.382518
806029,1,171000,7,8,0,"yes","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"yes",2,1.357477,,,,,,,0,2,0,1,1,11,23,1.229041,144620,11.88186,20660,9.935955,12331.43,9.419907,20660,9.935955,12.04942,1,"rift valley",702,306,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.11399,0,1,1,3.316625,4.795832,1,1,0,0,1,1,0,0,1,1,1,1,3.316625,3.316625,4.795832,4.795832,7.11399,7.11399,,1,"Join",1,5,0,.2857143,.1428571,.2857143,.1428571,1,,,0,1.323434
806006,1,15150,9,12,0,"no","no","no","no",,0,,5,3400,1,5,3400,1100,4400,4,,0,1,1100,4400,4,1000,"yes",2,1.357477,,400,400,150,,150,.5,2,0,1,1,11,23,1.837831,340684,12.73871,37853.78,10.54149,31529.33,10.35867,37187.11,10.52372,9.625756,1,"rift valley",702,306,5,.0129152,.0099799,66.3325,1,33.16625,0,0,0,0,0,0,0,0,1,7.516341,0,1,1,3.316625,4.795832,1,1,0,0,1,1,0,0,1,1,1,1,3.316625,3.316625,4.795832,4.795832,7.516341,7.516341,55.851838,1,"Join",1,2,.3333333,.3333333,0,.1111111,.1111111,1,5.010635,4.022702,0,1.333956
806020,0,8200,5,7,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,0,2,0,0,0,1,11,8.032434,72940,11.19739,14588,9.587955,13468,9.508072,14588,9.587955,9.011889,1,"rift valley",702,306,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.991242,0,0,0,1,3.316625,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.316625,0,8.991242,0,,1,"Non M-PESA",1,3,.2,.2,.4,.2,0,1,,,0,1.358174
806036,0,50000,7,8,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,0,1,1,3,23,1.018763,103392,11.54628,14770.29,9.600372,9181.714,9.124969,13913.14,9.540589,10.81978,1,"rift valley",702,306,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.926344,0,1,1,1.732051,4.795832,1,1,0,0,0,0,0,0,1,1,1,1,1.732051,1.732051,4.795832,4.795832,6.926344,6.926344,,1,"Non M-PESA",1,4,.4285715,.1428571,.1428571,.2857143,0,1,,,0,1.308909
806004,0,22900,4,8,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,0,1,1,11,23,1.132801,80672,11.29815,20168,9.911853,14963,9.613336,19418,9.873956,10.03889,1,"rift valley",702,306,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.032449,0,1,1,3.316625,4.795832,1,1,0,0,0,0,0,0,1,1,1,1,3.316625,3.316625,4.795832,4.795832,7.032449,7.032449,,1,"Non M-PESA",1,3,.25,.25,0,.25,.25,1,,,0,1.362693
806012,0,8600,3,0,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,0,1,1,11,23,1.650511,84512,11.34465,28170.67,10.24604,22117.33,10.00412,28170.67,10.24604,9.059518,1,"rift valley",702,306,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.40884,0,1,1,3.316625,4.795832,1,1,1,0,0,0,0,0,1,1,1,1,3.316625,3.316625,4.795832,4.795832,7.40884,7.40884,,1,"Non M-PESA",1,1,0,.3333333,.3333333,0,.3333333,1,,,0,1.392205
806044,1,43300,5,8,0,"no","yes","no","yes",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,1,1,1,3,23,.8640693,102124,11.53394,20424.8,9.924505,15464.8,9.646321,20424.8,9.924505,10.67591,1,"rift valley",702,306,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.761653,1,1,1,1.732051,4.795832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Non M-PESA",1,2,.2,.4,.2,.2,0,1,,,0,1.438722
806023,1,58800,2,0,0,"no","yes","no","no",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,0,1,1,3,23,1.048185,93104,11.44147,46552,10.74833,36192,10.49659,46552,10.74833,10.9819,1,"rift valley",702,306,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.954815,0,1,1,1.732051,4.795832,1,1,1,0,0,0,0,0,1,1,1,1,1.732051,1.732051,4.795832,4.795832,6.954815,6.954815,,1,"Non M-PESA",1,1,0,0,.5,0,.5,1,,,0,1.357883
1651107,1,80800,2,12,0,"yes","yes","no","no",,0,,1,2500,1,1,2500,,,,,,0,0,0,0,-2500,"yes",2,1.357477,,120,120,,,,0,2,6,6,9,22,25,.529993,139776,11.8478,69888,11.15465,33358,10.41505,69888,11.15465,11.29973,0,"rift valley",702,306,6,0,.0178858,0,0,0,0,0,0,1,0,0,0,0,0,6.272864,2.44949,2.44949,3,4.690416,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"M-PESA",,2,0,0,.5,.5,0,,,,1,1.287996
1651042,1,30000,2,0,1,"yes","yes","no","no",2750,2,5500,0,,1,2,5500,,,,,,0,0,0,0,-5500,"yes",2,1.357477,250,,250,,,,0,2,6,6,9,22,25,.436732,167792,12.03048,83896,11.33733,46826,10.75419,83896,11.33733,10.30895,0,"rift valley",702,306,6,0,.0327787,0,0,0,0,0,1,0,0,0,0,0,0,6.07932,2.44949,2.44949,3,4.690416,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"Join",,2,0,0,1,0,0,,,,1,1.224621
1651150,1,57600,8,12,0,"no","yes","no","no",,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,"yes",3,1.357477,,,,,,,0,2,7,7,10,24,27,.5547302,220660,12.30438,27582.5,10.22494,1397.5,7.24244,23082.5,10.04683,10.96128,0,"rift valley",702,306,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.318482,2.645751,2.645751,3.162278,4.89898,5.196152,1,1,0,0,1,1,2.645751,2.645751,2.645751,2.645751,3.162278,3.162278,4.89898,4.89898,5.196152,5.196152,6.318482,6.318482,.66580867,1,"M-PESA",,3,.125,.125,.5,0,.125,1,,-.4067529,1,1.246292
1651129,0,10000,2,12,0,"no","yes","no","yes",,,,,,0,0,0,,,,,,0,0,0,0,0,"no",2,1.357477,,,,,,,,2,6,6,9,22,25,.5434336,134352,11.80822,67176,11.11507,32786,10.39776,67176,11.11507,9.21034,0,"rift valley",702,306,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.297907,2.44949,2.44949,3,4.690416,5,1,1,0,0,0,0,2.44949,2.44949,2.44949,2.44949,3,3,4.690416,4.690416,5,5,6.297907,6.297907,,1,"Non M-PESA",,2,0,0,0,1,0,,,,1,1.37459
1651215,1,64800,7,12,0,"yes","yes","yes","yes",,,,,,0,0,0,,,,,,0,0,0,0,0,"yes",2,1.357477,,,,,,,0,2,6,6,9,22,25,.7434992,256500,12.45488,36642.86,10.50897,12071.43,9.398597,35442.86,10.47568,11.07906,0,"rift valley",702,306,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.611368,2.44949,2.44949,3,4.690416,5,1,1,0,0,1,1,2.44949,2.44949,2.44949,2.44949,3,3,4.690416,4.690416,5,5,6.611368,6.611368,,1,"Join",,2,.2857143,.4285714,0,.1428571,.1428571,,,,1,1.294351
